taxon_name,taxon_id
Acrocephalus arundinaceus,242497
Acrocephalus scirpaceus,242504
Actitis hypoleucos,242596
Alcedo atthis,243600
Anthus pratensis,245344
Apus apus,245686
Apus pallidus,245691
Ardea cinerea,245911
Bubulcus ibis,247515
Buteo buteo,247786
Calidris alba,248112
Cettia cetti,250289
Charadrius alexandrinus,250490
Charadrius dubius,250497
Charadrius hiaticula,250503
Cisticola juncidis,251499
Coracias garrulus,241810
Cuculus canorus,242856
Curruca melanocephala,257136
Cyanistes caeruleus,243037
Delichon urbicum,243973
Egretta garzetta,245522
Emberiza schoeniclus,245738
Erithacus rubecula,246793
Falco peregrinus,248593
Falco subbuteo,248604
Falco tinnunculus,248606
Galerida cristata,249641
Gulosus aristotelis,257383
Himantopus himantopus,251700
Hirundo rustica,251811
Ichthyaetus audouinii,158468
Ichthyaetus melanocephalus,158466
Ixobrychus minutus,242175
Jynx torquilla,242433
Luscinia megarhynchos,245135
Malpolon monspessulanus,245783
Merops apiaster,246744
Motacilla alba,247528
Motacilla flava,247561
Muscicapa striata,247706
Nycticorax nycticorax,249568
Oenanthe oenanthe,250056
Oriolus oriolus,252399
Parus major,252835
Phoenicurus ochruros,253189
Phylloscopus collybita,253262
Picus sharpei,257193
Pluvialis squatarola,242712
Podarcis liolepis,254136
Podiceps cristatus,242813
Psammodromus edwarsianus,244242
Ptyonoprogne rupestris,103858
Riparia riparia,246290
Saxicola rubetra,247975
Saxicola rubicola,247994
Serinus serinus,249670
Spinus spinus,21266
Sylvia atricapilla,246236
Tachybaptus ruficollis,246541
Tachymarptis melba,246557
Tadorna tadorna,246605
Tarentola mauritanica,156225
Tringa totanus,252107
Upupa epops,253488